question,answer,source,focus_area,q_word_len,a_word_len
How many people are affected by primary sclerosing cholangitis ?,"An estimated 1 in 10,000 people have primary sclerosing cholangitis, and the condition is diagnosed in approximately 1 in 100,000 people per year worldwide.",GHR,primary sclerosing cholangitis,10,24
what research (or clinical trials) is being done for Dravet Syndrome ?,"The NINDS conducts and supports a broad program of basic and clinical research on all types of epilepsy, including Dravet syndrome. Study of the genetic defects responsible for Dravet syndrome and related disorders is expected to lead to the development of effective drug therapies.",NINDS,Dravet Syndrome,12,44
How many people are affected by progressive supranuclear palsy ?,"The exact prevalence of progressive supranuclear palsy is unknown. It may affect about 6 in 100,000 people worldwide.",GHR,progressive supranuclear palsy,10,18
How many people are affected by cerebral autosomal dominant arteriopathy with subcortical infarcts and leukoencephalopathy ?,"CADASIL is likely a rare condition; however, its prevalence is unknown.",GHR,cerebral autosomal dominant arteriopathy with subcortical infarcts and leukoencephalopathy,16,11
How many people are affected by alkaptonuria ?,"This condition is rare, affecting 1 in 250,000 to 1 million people worldwide. Alkaptonuria is more common in certain areas of Slovakia (where it has an incidence of about 1 in 19,000 people) and in the Dominican Republic.",GHR,alkaptonuria,8,38
How many people are affected by Weill-Marchesani syndrome ?,"Weill-Marchesani syndrome appears to be rare; it has an estimated prevalence of 1 in 100,000 people.",GHR,Weill-Marchesani syndrome,9,16
What are the treatments for VACTERL association ?,These resources address the diagnosis or management of VACTERL association:  - MedlinePlus Encyclopedia: Tracheoesophageal Fistula and Esophageal Atresia Repair   These resources from MedlinePlus offer information about the diagnosis and management of various health conditions:  - Diagnostic Tests  - Drug Therapy  - Surgery and Rehabilitation  - Genetic Counseling   - Palliative Care,GHR,VACTERL association,8,50
How many people are affected by Jervell and Lange-Nielsen syndrome ?,"Jervell and Lange-Nielsen syndrome is uncommon; it affects an estimated 1.6 to 6 per 1 million people worldwide. This condition has a higher prevalence in Denmark, where it affects at least 1 in 200,000 people.",GHR,Jervell and Lange-Nielsen syndrome,11,35
How many people are affected by Silver syndrome ?,"Although Silver syndrome appears to be a rare condition, its exact prevalence is unknown.",GHR,Silver syndrome,9,14
How many people are affected by Allan-Herndon-Dudley syndrome ?,Allan-Herndon-Dudley syndrome appears to be a rare disorder. About 25 families with individuals affected by this condition have been reported worldwide.,GHR,Allan-Herndon-Dudley syndrome,9,21
How many people are affected by 3-M syndrome ?,3-M syndrome is a rare disorder. About 50 individuals with this disorder have been identified worldwide.,GHR,3-M syndrome,9,16
How many people are affected by tuberous sclerosis complex ?,"Tuberous sclerosis complex affects about 1 in 6,000 people.",GHR,tuberous sclerosis complex,10,9
What are the treatments for Cerebral Arteriosclerosis ?,"Treatment for cerebral arteriosclerosis can include medications or surgery. Physicians also may recommend treatments to help people control high blood pressure, quit cigarette smoking, and reduce cholesterol levels, all of which are risk factors for cerebral arteriosclerosis.",NINDS,Cerebral Arteriosclerosis,8,37
what research (or clinical trials) is being done for Tabes Dorsalis ?,"The NINDS supports and conducts research on neurodegenerative disorders, such as tabes dorsalis, in an effort to find ways to prevent, treat, and, ultimately, cure these disorders.",NINDS,Tabes Dorsalis,12,27
How many people are affected by familial cold autoinflammatory syndrome ?,"Familial cold autoinflammatory syndrome is a very rare condition, believed to have a prevalence of less than 1 per million people.",GHR,familial cold autoinflammatory syndrome,11,21
How many people are affected by hereditary fructose intolerance ?,"The incidence of hereditary fructose intolerance is estimated to be 1 in 20,000 to 30,000 individuals each year worldwide.",GHR,hereditary fructose intolerance,10,19
How many people are affected by peroxisomal acyl-CoA oxidase deficiency ?,Peroxisomal acyl-CoA oxidase deficiency is a rare disorder. Its prevalence is unknown. Only a few dozen cases have been described in the medical literature.,GHR,peroxisomal acyl-CoA oxidase deficiency,11,24
What are the treatments for desmosterolosis ?,These resources address the diagnosis or management of desmosterolosis:  - Genetic Testing Registry: Desmosterolosis   These resources from MedlinePlus offer information about the diagnosis and management of various health conditions:  - Diagnostic Tests  - Drug Therapy  - Surgery and Rehabilitation  - Genetic Counseling   - Palliative Care,GHR,desmosterolosis,7,45
what research (or clinical trials) is being done for Alpers' Disease ?,"The NINDS supports research on gene-linked neurodegenerative disorders such as Alpers' disease. The goals of this research are to increase scientific understanding of these disorders, and to find ways to prevent, treat, and cure them.",NINDS,Alpers' Disease,12,35
Is Pearson marrow-pancreas syndrome inherited ?,Pearson marrow-pancreas syndrome is generally not inherited but arises from new (de novo) mutations that likely occur in early embryonic development.,GHR,Pearson marrow-pancreas syndrome,6,21
Is Chronic inflammatory demyelinating polyneuropathy inherited ?,Is chronic inflammatory demyelinating polyneuropathy (CIDP) inherited? CIDP is not known to be inherited and is considered an acquired disorder. No clear genetic predisposition or other predisposing factors for CIDP have been identified.,GARD,Chronic inflammatory demyelinating polyneuropathy,7,33
How many people are affected by cystic fibrosis ?,"Cystic fibrosis is a common genetic disease within the white population in the United States. The disease occurs in 1 in 2,500 to 3,500 white newborns. Cystic fibrosis is less common in other ethnic groups, affecting about 1 in 17,000 African Americans and 1 in 31,000 Asian Americans.",GHR,cystic fibrosis,9,48
What are the treatments for Alpha-thalassemia ?,How might alpha-thalassemia be treated? Treatment of alpha-thalassemia often includes blood transfusions to provide healthy blood cells that have normal hemoglobin.  Bone marrow transplant has helped to cure a small number of individuals with severe alpha-thalassemia.,GARD,Alpha-thalassemia,7,36
Is Kawasaki disease inherited ?,"A predisposition to Kawasaki disease appears to be passed through generations in families, but the inheritance pattern is unknown. Children of parents who have had Kawasaki disease have twice the risk of developing the disorder compared to the general population. Children with affected siblings have a tenfold higher risk.",GHR,Kawasaki disease,5,49
What are the treatments for Hemoglobin E disease ?,How might hemoglobin E disease be treated? Treatment is usually not necessary. Folic acid supplements may be prescribed to help the body produce normal red blood cells and improve symptoms of anemia. People with hemoglobin E disease can expect to lead a normal life.,GARD,Hemoglobin E disease,9,44
What is the outlook for Paraneoplastic Syndromes ?,"There are no cures for paraneoplastic syndromes. There are no available treatments to stop progressive neurological damage. Generally, the stage of cancer at diagnosis determines the outcome.",NINDS,Paraneoplastic Syndromes,8,27
How many people are affected by Crigler-Najjar syndrome ?,Crigler-Najjar syndrome is estimated to affect fewer than 1 in 1 million newborns worldwide.,GHR,Crigler-Najjar syndrome,9,14
How many people are affected by microvillus inclusion disease ?,"The prevalence of microvillus inclusion disease is unknown. At least 200 cases have been reported in Europe, although this condition occurs worldwide.",GHR,microvillus inclusion disease,10,22
What causes X-linked dominant scapuloperoneal myopathy ?,What causes X-linked dominant scapuloperoneal myopathy? X-linked dominant scapuloperoneal myopathy is caused by mutations in the FHL1 gene. The FHL1 gene is located on chromosome Xq26. This gene may be involved in muscle development or hypertrophy.,GARD,X-linked dominant scapuloperoneal myopathy,7,36
How many people are affected by pseudohypoaldosteronism type 1 ?,"PHA1 is a rare condition that has been estimated to affect 1 in 80,000 newborns.",GHR,pseudohypoaldosteronism type 1,10,15
What are the treatments for small fiber neuropathy ?,These resources address the diagnosis or management of small fiber neuropathy:  - Genetic Testing Registry: Small fiber neuropathy   These resources from MedlinePlus offer information about the diagnosis and management of various health conditions:  - Diagnostic Tests  - Drug Therapy  - Surgery and Rehabilitation  - Genetic Counseling   - Palliative Care,GHR,small fiber neuropathy,9,49
What is (are) Leukemia ?,"Acute leukemia gets worse quickly. In chronic leukemia, symptoms develop gradually and are generally not as severe as in acute leukemia.",NIHSeniorHealth,Leukemia,5,21
What is the outlook for Moebius Syndrome ?,"There is no cure for Moebius syndrome. In spite of the impairments that characterize the disorder, proper care and treatment give many individuals a normal life expectancy.",NINDS,Moebius Syndrome,8,27
What are the treatments for Schinzel-Giedion syndrome ?,These resources address the diagnosis or management of Schinzel-Giedion syndrome:  - Genetic Testing Registry: Schinzel-Giedion syndrome   These resources from MedlinePlus offer information about the diagnosis and management of various health conditions:  - Diagnostic Tests  - Drug Therapy  - Surgery and Rehabilitation  - Genetic Counseling   - Palliative Care,GHR,Schinzel-Giedion syndrome,8,47
How many people are affected by cap myopathy ?,Cap myopathy is a rare disorder that has been identified in only a small number of individuals. Its exact prevalence is unknown.,GHR,cap myopathy,9,22
How many people are affected by progressive familial intrahepatic cholestasis ?,"PFIC is estimated to affect 1 in 50,000 to 100,000 people worldwide. PFIC type 1 is much more common in the Inuit population of Greenland and the Old Order Amish population of the United States.",GHR,progressive familial intrahepatic cholestasis,11,35
What are the treatments for Fumarase deficiency ?,How might fumarase deficiency be treated? There is currently no effective treatment for fumarase deficiency. Nutritional intervention may be appropriate for children with feeding difficulties. Physical therapy and wheelchairs can also be useful for some individuals.,GARD,Fumarase deficiency,8,36
What is the outlook for Farber's Disease ?,"Most children with the classic form of Farbers disease die by age 2, usually from lung disease. Children born with the most severe form of the disease usually die within 6 months, while individuals having a milder form of the disease may live into their teenage years or young adulthood.",NINDS,Farber's Disease,8,50
Is Bannayan-Riley-Ruvalcaba syndrome inherited ?,"This condition is inherited in an autosomal dominant pattern, which means one copy of the altered gene in each cell is sufficient to cause the disorder.",GHR,Bannayan-Riley-Ruvalcaba syndrome,5,26
How many people are affected by Legius syndrome ?,The prevalence of Legius syndrome is unknown. Many individuals with this disorder are likely misdiagnosed because the signs and symptoms of Legius syndrome are similar to those of neurofibromatosis type 1.,GHR,Legius syndrome,9,31
How many people are affected by Pelizaeus-Merzbacher disease ?,"The prevalence of Pelizaeus-Merzbacher disease is estimated to be 1 in 200,000 to 500,000 males in the United States. This condition rarely affects females.",GHR,Pelizaeus-Merzbacher disease,9,24
How many people are affected by Bart-Pumphrey syndrome ?,Bart-Pumphrey syndrome is a rare disorder; its exact prevalence is unknown. Only a few affected families and individual cases have been identified.,GHR,Bart-Pumphrey syndrome,9,22
How many people are affected by vitiligo ?,"Vitiligo is a common disorder, affecting between 0.5 percent and 1 percent of the population worldwide. While the condition may be more noticeable in dark-skinned people, it occurs with similar frequency in all ethnic groups.",GHR,vitiligo,8,35
How many people are affected by distal arthrogryposis type 1 ?,"Distal arthrogryposis type 1 affects an estimated 1 in 10,000 people worldwide.",GHR,distal arthrogryposis type 1,11,12
How many people are affected by Hajdu-Cheney syndrome ?,Hajdu-Cheney syndrome is a rare disease; its prevalence is unknown. Fewer than 100 affected individuals have been described in the medical literature.,GHR,Hajdu-Cheney syndrome,9,22
What causes Childhood Brain Stem Glioma ?,The cause of most childhood brain tumors is unknown.,CancerGov,Childhood Brain Stem Glioma,7,9
How many people are affected by Pallister-Hall syndrome ?,This condition is very rare; its prevalence is unknown.,GHR,Pallister-Hall syndrome,9,9
Is familial cold autoinflammatory syndrome inherited ?,This condition is inherited in an autosomal dominant pattern from an affected parent; one copy of the altered gene in each cell is sufficient to cause the disorder.,GHR,familial cold autoinflammatory syndrome,7,28
What is the outlook for Klver-Bucy Syndrome ?,"There is no cure for Klver-Bucy syndrome. The disorder is not life-threatening, but the patient can be difficult to manage. With treatment, symptoms may slowly decline.",NINDS,Klver-Bucy Syndrome,8,26
What are the treatments for Pelizaeus-Merzbacher Disease ?,"There is no cure for Pelizaeus-Merzbacher disease, nor is there a standard course of treatment. Treatment is symptomatic and supportive and may include medication for movement disorders.",NINDS,Pelizaeus-Merzbacher Disease,8,27
What is (are) High Blood Cholesterol ?,"A lipoprotein profile will also show the level of triglycerides in your blood. A desirable level is less than 150mg/dL. If the triglycerides in your blood are borderline high (150-199 mg/dL), or high (200 mg/dL or more), you may need treatment.",NIHSeniorHealth,High Blood Cholesterol,7,41
Is Noonan syndrome inherited ?,"This condition is inherited in an autosomal dominant pattern, which means one copy of the altered gene in each cell is sufficient to cause the disorder.",GHR,Noonan syndrome,5,26
How many people are affected by bladder cancer ?,"In the United States, bladder cancer is the fourth most common type of cancer in men and the ninth most common cancer in women. About 45,000 men and 17,000 women are diagnosed with bladder cancer each year.",GHR,bladder cancer,9,37
What causes Weill-Marchesani syndrome ?,"What causes Weill-Marchesani syndrome? Weill-Marchesani syndrome is usually caused by mutations in the ADAMTS10 gene. Two families have been found with mutations in different genes, one with a mutation in FBN1 and one with a mutation in LTBP2.",GARD,Weill-Marchesani syndrome,5,38
Is hereditary diffuse gastric cancer inherited ?,"HDGC is inherited in an autosomal dominant pattern, which means one copy of the altered CDH1 gene in each cell is sufficient to increase the risk of developing cancer.  In most cases, an affected person has one parent with the condition.",GHR,hereditary diffuse gastric cancer,7,41
How many people are affected by Fryns syndrome ?,The worldwide incidence of Fryns syndrome is unknown. More than 50 affected individuals have been reported in the medical literature. Studies suggest that Fryns syndrome occurs in 1.3 to 10 percent of all cases of congenital diaphragmatic hernia.,GHR,Fryns syndrome,9,38
What causes Peripheral Arterial Disease (P.A.D.) ?,"The most common cause of P.A.D. is atherosclerosis, a buildup of plaque in the arteries. Over time, plaque can harden and narrow the arteries. This limits the flow of oxygen-rich blood to your organs and other parts of your body.",NIHSeniorHealth,Peripheral Arterial Disease (P.A.D.),7,40
"Is methemoglobinemia, beta-globin type inherited ?","This condition is inherited in an autosomal dominant pattern, which means one copy of the altered gene in each cell is sufficient to cause the disorder.",GHR,"methemoglobinemia, beta-globin type",6,26
What is (are) Adenoameloblastoma ?,"Adenoameloblastoma is a lesion that is often found in the upper jaw. Some consider it a non-cancerous tumor, others a hamartoma (tumor-like growth) or cyst.  Often, an early sign of the lesion is painless swelling. These tumors are rarely found outside of the jaw.",GARD,Adenoameloblastoma,5,44
What are the treatments for Alcohol Use and Older Adults ?,Older people with alcohol problems respond to treatment as well as younger people. Some studies suggest that older adults do better when they are treated with other people the same age instead of mixed in with younger adults. Some communities have treatment programs and support groups specifically for older adults.,NIHSeniorHealth,Alcohol Use and Older Adults,11,50
What is the outlook for Neurotoxicity ?,"The prognosis depends upon the length and degree of exposure and the severity of neurological injury. In some instances, exposure to neurotoxicants can be fatal. In others, patients may survive but not fully recover. In other situations, many individuals recover completely after treatment.",NINDS,Neurotoxicity,7,43
How many people are affected by alpha thalassemia X-linked intellectual disability syndrome ?,"Alpha thalassemia X-linked intellectual disability syndrome appears to be a rare condition, although its exact prevalence is unknown. More than 200 affected individuals have been reported.",GHR,alpha thalassemia X-linked intellectual disability syndrome,13,26
How many people are affected by Noonan syndrome ?,"Noonan syndrome occurs in approximately 1 in 1,000 to 2,500 people.",GHR,Noonan syndrome,9,11
How many people are affected by Miyoshi myopathy ?,"The exact prevalence of Miyoshi myopathy is unknown. In Japan, where the condition was first described, it is estimated to affect 1 in 440,000 individuals.",GHR,Miyoshi myopathy,9,25
What is the outlook for Thyrotoxic Myopathy ?,"With treatment, muscle weakness may improve or be reversed.",NINDS,Thyrotoxic Myopathy,8,9
What is the outlook for Foot Drop ?,"The prognosis for foot drop depends on the cause. Foot drop caused by trauma or nerve damage usually shows partial or even complete recovery. For progressive neurological disorders, foot drop will be a symptom that is likely to continue as a lifelong disability, but it will not shorten life expectancy.",NINDS,Foot Drop,8,50
"Is platyspondylic lethal skeletal dysplasia, Torrance type inherited ?","This condition is inherited in an autosomal dominant pattern, which means one copy of the altered gene in each cell is sufficient to cause the disorder.",GHR,"platyspondylic lethal skeletal dysplasia, Torrance type",9,26
What are the treatments for Benign rolandic epilepsy (BRE) ?,"What treatment is available for benign rolandic epilepsy? Although treatment is usually not necessary since the episodes are infrequent and are typically outgrown by puberty, anticonvulsants such as carbamazepine.",GARD,Benign rolandic epilepsy (BRE),10,29
How many people are affected by leukoencephalopathy with brainstem and spinal cord involvement and lactate elevation ?,LBSL is a rare condition. Its exact prevalence is not known.,GHR,leukoencephalopathy with brainstem and spinal cord involvement and lactate elevation,17,11
How many people are affected by infantile neuroaxonal dystrophy ?,Infantile neuroaxonal dystrophy is a very rare disorder. Its specific incidence is unknown.,GHR,infantile neuroaxonal dystrophy,10,13
How many people are affected by congenital stromal corneal dystrophy ?,Congenital stromal corneal dystrophy is probably very rare; only a few affected families have been reported in the medical literature.,GHR,congenital stromal corneal dystrophy,11,20
How many people are affected by neurofibromatosis type 2 ?,"Neurofibromatosis type 2 has an estimated incidence of 1 in 33,000 people worldwide.",GHR,neurofibromatosis type 2,10,13
What is the outlook for Brown-Sequard Syndrome ?,The prognosis for individuals with BSS varies depending on the cause of the disorder.,NINDS,Brown-Sequard Syndrome,8,14
What are the treatments for isodicentric chromosome 15 syndrome ?,These resources address the diagnosis or management of isodicentric chromosome 15 syndrome:  - Autism Speaks: How is Autism Treated?   These resources from MedlinePlus offer information about the diagnosis and management of various health conditions:  - Diagnostic Tests  - Drug Therapy  - Surgery and Rehabilitation  - Genetic Counseling   - Palliative Care,GHR,isodicentric chromosome 15 syndrome,10,50
How many people are affected by familial porencephaly ?,"Familial porencephaly is a rare condition, although the exact prevalence is unknown. At least eight affected families have been described in the scientific literature.",GHR,familial porencephaly,9,24
How many people are affected by infantile-onset ascending hereditary spastic paralysis ?,"Infantile-onset ascending hereditary spastic paralysis is a rare disorder, with at least 30 cases reported in the scientific literature.",GHR,infantile-onset ascending hereditary spastic paralysis,12,19
How many people are affected by aromatic l-amino acid decarboxylase deficiency ?,AADC deficiency is a rare disorder. Only about 100 people with this condition have been described in the medical literature worldwide; about 20 percent of these individuals are from Taiwan.,GHR,aromatic l-amino acid decarboxylase deficiency,12,30
Is spondyloepiphyseal dysplasia congenita inherited ?,"This condition is inherited in an autosomal dominant pattern, which means one copy of the altered gene in each cell is sufficient to cause the disorder.",GHR,spondyloepiphyseal dysplasia congenita,6,26
Is hereditary myopathy with early respiratory failure inherited ?,"This condition is inherited in an autosomal dominant pattern, which means one copy of the altered gene in each cell is sufficient to cause the disorder.",GHR,hereditary myopathy with early respiratory failure,9,26
How many people are affected by collagen VI-related myopathy ?,"Collagen VI-related myopathy is rare. Bethlem myopathy is estimated to occur in 0.77 per 100,000 individuals, and Ullrich congenital muscular dystrophy is estimated to occur in 0.13 per 100,000 individuals. Only a few cases of the intermediate form have been described in the scientific literature.",GHR,collagen VI-related myopathy,10,45
What is (are) Thyroglossal tract cyst ?,A thyroglossal duct cyst is a neck mass or lump that develops from cells and tissues remaining after the formation of the thyroid gland during embryonic development.,GARD,Thyroglossal tract cyst,7,27
What are the treatments for Neuroleptic Malignant Syndrome ?,"Generally, intensive care is needed. The neuroleptic or antipsychotic drug is discontinued, and the fever is treated aggressively. A muscle relaxant may be prescribed. Dopaminergic drugs, such as a dopamine agonist, have been reported to be useful.",NINDS,Neuroleptic Malignant Syndrome,9,37
what research (or clinical trials) is being done for Arachnoiditis ?,"Within the NINDS research programs, arachnoiditis is addressed primarily through studies associated with pain research. NINDS vigorously pursues a research program seeking new treatments for pain and nerve damage with the ultimate goal of reversing debilitating conditions such as arachnoiditis.",NINDS,Arachnoiditis,11,40
How many people are affected by 1q21.1 microdeletion ?,1q21.1 microdeletion is a rare chromosomal change; only a few dozen individuals with this deletion have been reported in the medical literature.,GHR,1q21.1 microdeletion,9,22
How many people are affected by mucopolysaccharidosis type II ?,"MPS II occurs in approximately 1 in 100,000 to 1 in 170,000 males.",GHR,mucopolysaccharidosis type II,10,13
How many people are affected by anhidrotic ectodermal dysplasia with immune deficiency ?,"The prevalence of the X-linked recessive type of EDA-ID is estimated to be 1 in 250,000 individuals. Only a few cases of the autosomal dominant form have been described in the scientific literature.",GHR,anhidrotic ectodermal dysplasia with immune deficiency,13,33
Is Orofaciodigital syndrome 2 inherited ?,"How is orofaciodigital syndrome type 2 inherited? Orofaciodigital syndrome type 2 is inherited in an autosomal recessive pattern, which means that an individual needs to inherit two mutated (changed) copies of the gene-one from each parent-in order to have the condition.",GARD,Orofaciodigital syndrome 2,6,41
How many people are affected by congenital insensitivity to pain with anhidrosis ?,"CIPA is a rare condition; however, the prevalence is unknown.",GHR,congenital insensitivity to pain with anhidrosis,13,10
What are the treatments for Brown-Sequard Syndrome ?,Generally treatment for individuals with BSS focuses on the underlying cause of the disorder. Early treatment with high-dose steroids may be beneficial in many cases. Other treatment is symptomatic and supportive.,NINDS,Brown-Sequard Syndrome,8,31
What are the treatments for Prescription and Illicit Drug Abuse ?,People can receive treatment as outpatients (they live at home and visit the doctor or other provider) or through inpatient services (they live temporarily at a special facility where they get treatment). The support of family and friends is important during the treatment process.,NIHSeniorHealth,Prescription and Illicit Drug Abuse,11,44
What are the treatments for nonsyndromic paraganglioma ?,These resources address the diagnosis or management of nonsyndromic paraganglioma:  - Genetic Testing Registry: Pheochromocytoma   These resources from MedlinePlus offer information about the diagnosis and management of various health conditions:  - Diagnostic Tests  - Drug Therapy  - Surgery and Rehabilitation  - Genetic Counseling   - Palliative Care,GHR,nonsyndromic paraganglioma,8,46
How many people are affected by chylomicron retention disease ?,Chylomicron retention disease is a rare condition with approximately 40 cases described worldwide.,GHR,chylomicron retention disease,10,13
What is the outlook for Corticobasal Degeneration ?,Corticobasal degeneration usually progresses slowly over the course of 6 to 8 years. Death is generally caused by pneumonia or other complications of severe debility such as sepsis or pulmonary embolism.,NINDS,Corticobasal Degeneration,8,31
How many people are affected by familial hemophagocytic lymphohistiocytosis ?,"Familial hemophagocytic lymphohistiocytosis occurs in approximately 1 in 50,000 individuals worldwide.",GHR,familial hemophagocytic lymphohistiocytosis,10,11
Who is at risk for Colorectal Cancer? ?,"Studies show that the following risk factors may increase a person's chances of developing colorectal cancer: age, polyps, personal history, family history, and ulcerative colitis.",NIHSeniorHealth,Colorectal Cancer,8,25
How many people are affected by 18q deletion syndrome ?,"18q deletion syndrome occurs in an estimated 1 in 40,000 newborns. This condition is found in people of all ethnic backgrounds.",GHR,18q deletion syndrome,10,21
What are the treatments for Lennox-Gastaut Syndrome ?,"Treatment for Lennox-Gastaut syndrome includes clobazam and anti-epileptic medications such as valproate, lamotrigine, felbamate, or topiramate. There is usually no single antiepileptic medication that will control seizures. Children who improve initially may later show tolerance to a drug or have uncontrollable seizures.",NINDS,Lennox-Gastaut Syndrome,8,42
What are the treatments for Tay-Sachs Disease ?,Presently there is no specific treatment for Tay-Sachs disease. Anticonvulsant medicine may initially control seizures. Other supportive treatment includes proper nutrition and hydration and techniques to keep the airway open. Children may eventually need a feeding tube.,NINDS,Tay-Sachs Disease,8,37
How to diagnose Autoimmune hepatitis ?,"How is autoimmune hepatitis diagnosed? The diagnosis of autoimmune hepatitis is typically made based on symptoms, blood tests, and a liver biopsy.",GARD,Autoimmune hepatitis,6,22
What is the outlook for Vulvar Cancer ?,Certain factors affect prognosis (chance of recovery) and treatment options. The prognosis (chance of recovery) and treatment options depend on the following:         - The stage of the cancer.    - The patient's age and general health.    - Whether the cancer has just been diagnosed or has recurred (come back).,CancerGov,Vulvar Cancer,8,48
How many people are affected by familial pityriasis rubra pilaris ?,"Familial pityriasis rubra pilaris is a rare condition. Its incidence is unknown, although the familial form appears to be the least common type of pityriasis rubra pilaris.",GHR,familial pityriasis rubra pilaris,11,27
How many people are affected by hereditary angioedema ?,"Hereditary angioedema is estimated to affect 1 in 50,000 people. Type I is the most common, accounting for 85 percent of cases. Type II occurs in 15 percent of cases, and type III is very rare.",GHR,hereditary angioedema,9,36
How many people are affected by hereditary cerebral amyloid angiopathy ?,"The prevalence of hereditary cerebral amyloid angiopathy is unknown. The Dutch type is the most common, with over 200 affected individuals reported in the scientific literature.",GHR,hereditary cerebral amyloid angiopathy,11,26
What are the symptoms of Chilaiditi syndrome ?,"What are the signs and symptoms of Chilaiditi syndrome? The symptoms of Chilaiditi syndrome vary. Chronic recurrent abdominal pain is a common finding. Other symptoms might include nausea, vomiting, constipation, indigestion, difficulty swallowing, and abdominal tenderness, especially in the upper, central area. In some cases, breathing problems may develop.",GARD,Chilaiditi syndrome,8,49
What is the outlook for Tarlov Cysts ?,"In some instances Tarlov cysts can cause nerve pain and other pain, weakness, or nerve root compression. Acute and chronic pain may require changes in lifestyle. If left untreated, nerve root compression can cause permanent neurological damage.",NINDS,Tarlov Cysts,8,37
what research (or clinical trials) is being done for Schizencephaly ?,The NINDS conducts and supports a wide range of studies that explore the mechanisms of normal brain development. The knowledge gained from these fundamental studies provides the foundation for understanding how to prevent or treat developmental brain defects such as schizencephaly.,NINDS,Schizencephaly,11,41
How many people are affected by small fiber neuropathy ?,The prevalence of small fiber neuropathy is unknown.,GHR,small fiber neuropathy,10,8
What causes Prostate Cancer ?,"Scientists don't know exactly what causes prostate cancer. They cannot explain why one man gets prostate cancer and another does not. However, they have been able to identify some risk factors that are associated with the disease. A risk factor is anything that increases your chances of getting a disease.",NIHSeniorHealth,Prostate Cancer,5,50
Who is at risk for Respiratory Failure? ?,"People who have diseases or conditions that affect the muscles, nerves, bones, or tissues that support breathing are at risk for respiratory failure. People who have lung diseases or conditions also are at risk for respiratory failure. For more information, go to ""What Causes Respiratory Failure?""",NHLBI,Respiratory Failure,8,46
How many people are affected by Peutz-Jeghers syndrome ?,"The prevalence of this condition is uncertain; estimates range from 1 in 25,000 to 300,000 individuals.",GHR,Peutz-Jeghers syndrome,9,16
What causes Craniopharyngioma ?,What causes craniopharyngioma? Craniopharyngiomas are thought to arise from epithelial remnants of the craniopharyngeal duct or Rathke's pouch (adamantinomatous type tumours) or from metaplasia of squamous epithelial cell rests that are remnants of the part of the stomadeum that contributed to the buccal mucosa (squamous papillary type tumours).,GARD,Craniopharyngioma,4,48
How many people are affected by cleidocranial dysplasia ?,Cleidocranial dysplasia occurs in approximately 1 per million individuals worldwide.,GHR,cleidocranial dysplasia,9,10
How to prevent Pericarditis ?,"You usually can't prevent acute pericarditis. You can take steps to reduce your chance of having another acute episode, having complications, or getting chronic pericarditis.
                
These steps include getting prompt treatment, following your treatment plan, and having ongoing medical care (as your doctor advises).",NHLBI,Pericarditis,5,44
How many people are affected by Dowling-Degos disease ?,"Dowling-Degos disease appears to be a rare condition, although its prevalence is unknown.",GHR,Dowling-Degos disease,9,13
